client_location,sector,percentile,2024-10-01_to_2024-12-31,2025-01-01_to_2025-03-31,2025-04-01_to_2025-06-30,2025-07-01_to_2025-09-30,2025-10-01_to_2025-12-31,unit,source_url
In Australia,Postgraduate Research Sector,50,112,109,94,147,83,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Postgraduate Research Sector,75,120,131,134,157,118,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Schools Sector,25,28,29,139,156,148,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Schools Sector,50,63,149,190,171,163,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Schools Sector,75,197,237,232,191,207,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Vocational Education and Training Sector,25,171,167,177,140,126,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Vocational Education and Training Sector,50,197,230,209,158,152,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,Vocational Education and Training Sector,75,203,243,234,180,167,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,All sectors,25,108,19,78,118,85,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,All sectors,50,130,157,182,154,134,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,All sectors,75,198,233,222,171,160,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Foreign Affairs or Defence Sector,25,5,<5,<5,<5,<5,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Foreign Affairs or Defence Sector,50,9,7,5,<5,7,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Foreign Affairs or Defence Sector,75,15,14,10,8,14,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Higher Education Sector,25,0,6,11,14,9,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Higher Education Sector,50,8,22,23,26,21,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Higher Education Sector,75,27,33,32,33,36,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Independent ELICOS Sector,25,0,0,0,0,0,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Independent ELICOS Sector,50,8,9,<5,12,7,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Independent ELICOS Sector,75,30,23,18,24,20,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Non-Award Sector,25,0,0,0,0,0,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Non-Award Sector,50,0,<5,0,<5,0,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Non-Award Sector,75,<5,21,7,23,<5,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Postgraduate Research Sector,25,5,6,<5,<5,<5,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Postgraduate Research Sector,50,14,19,18,19,15,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Postgraduate Research Sector,75,33,33,36,88,32,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Schools Sector,25,13,15,11,15,14,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Schools Sector,50,23,27,21,24,22,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Schools Sector,75,38,45,32,35,32,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Vocational Education and Training Sector,25,10,14,9,17,14,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Vocational Education and Training Sector,50,36,31,26,24,24,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,Vocational Education and Training Sector,75,86,86,38,36,39,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,All sectors,25,0,5,<5,11,<5,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,All sectors,50,8,20,21,24,18,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,All sectors,75,26,33,30,33,31,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
All locations,All sectors,25,0,7,8,14,8,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
All locations,All sectors,50,17,31,26,30,25,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
All locations,All sectors,75,106,131,81,147,80,calendar_days,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
